Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;81.91027708051634;1;1;421;7;96.910307097;6;1;0
biosppnw03.txt;55.12590280188616;2;1;47;6;47.622684515;10;0;0
biosppnw04.txt;61.16103490092634;6;6;26;2;64.76500349;9;0;0
biosppnw05.txt;21.992635007933373;2;1;73;6;171.479675737;9;0;0
biosppnw06.txt;73.81720551377894;1;1;20;3;3.476295705;9;0;0
biosppnw07.txt;73.33427187749302;0;0;20;4;1.725268943;8;0;0
biosppnw08.txt;93.44466679014278;0;0;20;6;0.091007846;6;0;0
biosppnw09.txt;85.50558662855401;0;0;22;6;0.979133361;8;0;0
biosppnw10.txt;99.22427263684244;0;0;13;7;0.187304274;8;0;0
biosppnw11.txt;98.30518389568711;0;0;28;6;2.837700466;10;0;0
biosppnw12.txt;86.28206734485609;2;1;43;7;0.16625216;7;0;0
biosppnw13.txt;85.0684739285586;4;3;125;7;7.030357115;9;0;0
biosppnw14.txt;81.56193034135407;0;0;103;7;84.252733878;9;0;0
biosppnw15.txt;100.0;0;0;2;3;0.134464437;9;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;89.642553135;4;0;0
biosppnw17.txt;73.34413992647649;2;1;58;5;112.939022359;9;0;0
biosppnw18.txt;0.0;1;1;23;1;11.200409688;10;0;0
biosppnw19.txt;78.81074195319916;2;1;20;5;1.158345321;8;0;0
biosppnw20.txt;83.89216627983805;0;0;9;4;0.200803441;9;0;0
biosppnw21.txt;92.95346244378536;0;0;10;4;0.149602649;9;0;0
biosppnw22.txt;81.36313018031692;0;0;19;4;0.154621106;8;0;0
biosppnw23.txt;91.43357601033692;6;4;6;3;0.29727661;10;0;0
biosppnw24.txt;72.5440658669555;1;1;21;3;0.388173173;9;0;0
biosppnw25.txt;81.77635721403352;1;1;17;5;0.366579339;9;0;0
biosppnw26.txt;34.355977917871364;2;1;19;4;0.425303695;9;0;0
biosppnw27.txt;94.74130410186496;2;1;12;3;0.348642728;9;0;0
biosppnw28.txt;75.86771847955004;2;1;6;2;0.38860955;9;0;0
biosppnw29.txt;36.93801115608763;1;1;12;4;0.751106497;8;0;0
biosppnw30.txt;79.32333252998143;0;0;8;3;0.695624255;8;0;0
biosppnw31.txt;64.06971715917999;0;0;16;3;0.709172694;9;0;0
biosppnw32.txt;97.05011089877407;0;0;8;4;0.095572505;8;0;0
biosppnw33.txt;75.6415789902572;0;0;10;5;0.854322027;9;0;0
biosppnw34.txt;65.0138414042211;4;2;14;4;0.369489372;9;0;0
biosppnw35.txt;87.30159461359095;0;0;14;6;0.408364909;9;0;0
biosppnw36.txt;86.13599217705293;1;1;10;2;0.688818575;10;0;0
biosppnw37.txt;79.48552581566017;1;1;10;3;0.145553832;8;0;0
biosppnw38.txt;41.33816427862388;3;1;8;3;0.370105941;10;0;0
biosppnw39.txt;61.0932636635715;0;0;12;4;0.212469709;9;0;0
biosppnw40.txt;93.68447979557624;0;0;10;2;0.150062061;10;0;0
biosppnw41.txt;83.74833372317015;2;2;11;3;0.06673235;8;0;0
biosppnw42.txt;93.58444785952905;0;0;10;2;0.288638274;9;0;0
biosppnw43.txt;64.97512198474061;1;1;21;6;0.358746965;10;0;0
