Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time
biosppnw01.txt;80.70138939993939;1;5;421;8;47.613160807
biosppnw03.txt;69.19118704628079;1;8;47;6;29.046903619
biosppnw04.txt;34.88201783365973;52;21;26;2;105.337446805
biosppnw05.txt;34.89288508315629;6;6;73;5;130.552897279
biosppnw06.txt;58.04984036918952;11;12;20;2;4.1687071
biosppnw07.txt;76.93811815514715;6;7;20;7;1.511292025
biosppnw08.txt;81.6566445592552;0;1;20;4;0.058056268
biosppnw09.txt;84.53224321728257;1;3;22;4;0.58013525
biosppnw10.txt;99.22427263684244;0;1;13;7;0.122839627
biosppnw11.txt;98.59654483288773;3;5;28;7;1.851272642
biosppnw12.txt;83.9863050440069;0;1;43;5;0.084350909
biosppnw13.txt;55.97345971165184;83;21;125;4;13.663664494
biosppnw14.txt;86.10075260948304;3;7;103;7;55.776681898
biosppnw15.txt;100.0;0;1;2;3;0.131243199
biosppnw16.txt;1.1281603950428456;0;1;7;2;72.03398363
biosppnw17.txt;57.42225407223115;15;12;58;4;118.970960223
biosppnw18.txt;62.86995407212197;44;21;23;2;17.200387455
biosppnw19.txt;88.20481389450539;1;5;20;4;0.666785506
biosppnw20.txt;61.70247912682473;21;21;9;2;0.243066273
biosppnw21.txt;92.95346244378536;0;2;10;4;0.100211294
biosppnw22.txt;82.52584154122185;8;8;19;3;0.192720511
biosppnw23.txt;92.3659151923775;22;21;6;3;0.26989933
biosppnw24.txt;73.77084997719203;5;4;21;5;0.299324372
biosppnw25.txt;82.79720784228812;2;4;17;4;0.223658644
biosppnw26.txt;89.18808974047838;45;21;19;4;0.423057203
biosppnw27.txt;91.15172302511033;9;12;12;2;0.415023112
biosppnw28.txt;75.86771847955004;4;6;6;2;0.252979483
biosppnw29.txt;74.9441223833997;27;21;12;2;0.936139128
biosppnw30.txt;81.14925944972045;7;9;8;2;0.806196343
biosppnw31.txt;76.48615778234215;1;5;16;4;0.613899675
biosppnw32.txt;97.5923395386242;21;21;8;4;0.09118862
biosppnw33.txt;92.79505974164252;4;9;10;4;0.750069092
biosppnw34.txt;75.4314332861839;1;3;14;4;0.167785231
biosppnw35.txt;83.59535758979871;14;13;14;4;0.496347225
biosppnw36.txt;87.33863593430785;34;21;10;3;0.823941035
biosppnw37.txt;88.09822097211102;0;1;10;3;0.09302647
biosppnw38.txt;67.68849680501762;14;11;8;4;0.405989253
biosppnw39.txt;65.90205881077553;9;8;12;6;0.222564399
biosppnw40.txt;95.70367314135493;12;10;10;3;0.158633579
biosppnw41.txt;83.74833372317015;1;3;11;3;0.032243961
biosppnw42.txt;93.76819145463249;6;7;10;2;0.237777941
biosppnw43.txt;68.86446863916669;29;20;21;5;0.549657556
