Instance;Avg_Ratio_Non_Bin_Var
biosppnw01.txt;0.05507455507455508
biosppnw03.txt;0.003428649797709662
biosppnw04.txt;0.00355628713462325
biosppnw06.txt;0.008201292523701735
biosppnw07.txt;0.019334880123743233
biosppnw08.txt;1.4112903225806452
biosppnw09.txt;0.2363304329143839
biosppnw10.txt;1.0785463071512311
biosppnw11.txt;0.11224489795918367
biosppnw12.txt;1.6373801916932904
biosppnw13.txt;0.062332481456086775
biosppnw14.txt;0.009480669967344358
biosppnw15.txt;0.7922912205567453
biosppnw16.txt;0.07961444183548291
biosppnw17.txt;0.002060961363532038
biosppnw18.txt;0.20544761550618196
biosppnw19.txt;0.03859364748562387
biosppnw20.txt;0.016220600162206
biosppnw21.txt;0.19256691700365877
biosppnw22.txt;0.14135702746365103
biosppnw23.txt;0.5485232067510548
biosppnw24.txt;0.12201073694485115
biosppnw25.txt;0.00912991874372318
biosppnw26.txt;0.1152903876639285
biosppnw27.txt;0.09840098400984008
biosppnw28.txt;0.04591368227731864
biosppnw29.txt;0.0
biosppnw30.txt;0.018846588767433094
biosppnw31.txt;0.016695884464479505
biosppnw32.txt;1.1715797430083144
biosppnw33.txt;0.007243227582210633
biosppnw34.txt;0.024718823384006924
biosppnw35.txt;0.11702750146284381
biosppnw36.txt;0.011217049915872124
biosppnw37.txt;0.06493506493506493
biosppnw38.txt;0.15573770491803282
biosppnw39.txt;0.11488593467914002
biosppnw40.txt;0.04950495049504951
biosppnw41.txt;0.5076142131979696
biosppnw42.txt;0.061785603954278664
biosppnw43.txt;0.1305970149253731
