Instances,Times,Quality,Nb_results,Nb_variables,Nb_constraints
01,597.2200751304626,30.232593643428192,3,51975,135
03,392.71523666381836,94.59473833272428,10,43749,59
04,-1.0,0.0,0,87482,36
06,30.231216192245483,97.49103948249032,6,6774,50
07,30.62010431289673,96.49533319513432,6,5172,36
08,0.783395528793335,95.45675849303727,5,434,24
09,11.583979368209839,97.9238673265678,7,3103,40
10,0.8541944026947021,96.93949789471208,4,853,24
11,15.349710702896118,97.46197391111515,4,8820,39
12,0.5870881080627441,94.65063065853039,7,626,27
13,74.08157181739807,96.09509214482718,10,16043,51
14,600.8236708641052,29.23965449421288,3,123409,73
15,0.32917332649230957,100.0,2,467,31
16,-1.0,0.0,0,0,0
17,598.8929557800293,29.46161112704634,3,118607,61
18,58.34441685676575,95.25403553625242,4,10757,124
19,5.958878755569458,95.4850826670809,7,2879,40
20,1.7155356407165527,99.00176392085075,4,685,22
21,1.03413724899292,96.98168248044071,6,577,25
22,1.7964091300964355,96.80164901601735,6,619,23
23,0.6329667568206787,99.93671877716734,4,711,19
24,5.260793685913086,98.81167241919351,7,1366,19
25,4.473723411560059,95.03536477230455,7,1217,20
26,1.5021355152130127,97.47651746862569,7,771,23
27,2.2912557125091553,96.29731775915677,4,1355,22
28,2.262620449066162,99.80368197857383,4,1210,18
29,6.565985679626465,98.27168277806074,5,2540,18
30,9.926436185836792,99.85473923766102,6,2653,26
31,16.31473398208618,97.51485536743704,7,2662,26
32,0.1439495086669922,96.99489401412782,4,294,19
33,18.33599591255188,98.39314733280118,5,3068,23
34,4.183316469192505,98.9183007843362,8,899,20
35,6.864929676055908,98.07366577592148,7,1709,23
36,6.689481496810913,98.1374043478479,4,1783,20
37,2.2158758640289307,98.28875816707627,5,770,19
38,2.7882444858551025,97.04083216355467,4,1220,23
39,1.9156074523925781,98.15807612012225,5,677,25
40,0.5094010829925537,98.78495431851607,5,404,19
41,0.15086793899536133,98.2159562901097,6,197,17
42,1.929074764251709,97.6922939949135,3,1079,23
43,8.732903242111206,94.4630219619318,7,1072,18
