"Instances","Times","Quality","Number of (weakly) efficient points","Number of variables","Number of constraints"
1,597.22,30.23,3,51975,135
3,392.715,94.59,10,43749,59
4,-1,0,0,87482,36
6,30.231,97.49,6,6774,50
7,30.62,96.5,6,5172,36
8,0.783,95.46,5,434,24
9,11.584,97.92,7,3103,40
10,0.854,96.94,4,853,24
11,15.35,97.46,4,8820,39
12,0.587,94.65,7,626,27
13,74.082,96.1,10,16043,51
14,600.824,29.24,3,123409,73
15,0.329,100,2,467,31
16,-1,0,0,0,0
17,598.893,29.46,3,118607,61
18,58.344,95.25,4,10757,124
19,5.959,95.49,7,2879,40
20,1.716,99,4,685,22
21,1.034,96.98,6,577,25
22,1.796,96.8,6,619,23
23,0.633,99.94,4,711,19
24,5.261,98.81,7,1366,19
25,4.474,95.04,7,1217,20
26,1.502,97.48,7,771,23
27,2.291,96.3,4,1355,22
28,2.263,99.8,4,1210,18
29,6.566,98.27,5,2540,18
30,9.926,99.85,6,2653,26
31,16.315,97.51,7,2662,26
32,0.144,96.99,4,294,19
33,18.336,98.39,5,3068,23
34,4.183,98.92,8,899,20
35,6.865,98.07,7,1709,23
36,6.689,98.14,4,1783,20
37,2.216,98.29,5,770,19
38,2.788,97.04,4,1220,23
39,1.916,98.16,5,677,25
40,0.509,98.78,5,404,19
41,0.151,98.22,6,197,17
42,1.929,97.69,3,1079,23
43,8.733,94.46,7,1072,18
