Instances,Times,Quality,Nb_results
01,416.39260601997375,84.42126514268043,5
03,249.07704424858093,87.30244893769236,5
04,-1.0,0.0,0
06,23.87429118156433,92.55774498553055,5
07,22.624929428100586,86.68950743125981,4
08,0.4515230655670166,88.54970771634336,3
09,8.22477912902832,85.52462942624743,5
10,0.6468827724456787,86.27387378488768,2
11,11.83801531791687,95.09089275476931,3
12,0.20754194259643555,90.62491176864414,5
13,42.495518922805786,89.25879339993074,5
14,622.6307511329651,73.35410571416398,4
15,0.31947898864746094,100.0,2
16,-1.0,0.0,0
17,599.0701003074646,51.513612927831396,3
18,46.63671588897705,84.56223633224849,2
19,3.7794177532196045,91.7245835928309,4
20,1.18153977394104,92.6849133254324,3
21,0.8207626342773438,95.45494545428294,4
22,1.3374545574188232,93.48584125180797,5
23,0.4698047637939453,91.43357601033692,2
24,2.6660776138305664,96.12712021273231,4
25,2.265622138977051,91.11761887306636,5
26,0.8937296867370605,93.40629176199288,4
27,1.6581149101257324,91.153781085402,2
28,1.9430932998657227,92.40008695510525,3
29,6.527099370956421,88.2089054905411,4
30,6.254041910171509,97.05579571766934,4
31,13.17578911781311,92.66454023932779,5
32,0.12001180648803711,96.99405934029014,3
33,14.603426456451416,94.61651241015208,4
34,2.142906665802002,92.28729456483406,4
35,4.992282152175903,93.43171362829203,4
36,5.124829053878784,91.58806569993507,3
37,1.643653392791748,94.88180170081012,4
38,2.6853339672088623,92.42689119837068,4
39,1.6177616119384766,98.15807612012225,5
40,0.42613697052001953,86.43716387825694,4
41,0.12494421005249023,86.77164340703992,5
42,1.8951046466827393,97.6922939949135,3
43,6.022891044616699,93.30963078738584,4
